region_size,percentage_pages,mprotect_granularity,time
1,1,1,0.00464
1,1,2,0.00466
1,1,4,0.00460
1,1,8,0.00466
1,1,16,0.00457
1,1,32,0.00463
1,1,64,0.00472
1,1,128,0.00280
1,5,1,0.01198
1,5,2,0.01252
1,5,4,0.01225
1,5,8,0.01207
1,5,16,0.01236
1,5,32,0.00265
1,5,64,0.00264
1,5,128,0.00261
1,10,1,0.02248
1,10,2,0.02199
1,10,4,0.02234
1,10,8,0.02172
1,10,16,0.00255
1,10,32,0.00253
1,10,64,0.00255
1,10,128,0.00256
1,20,1,0.04482
1,20,2,0.04890
1,20,4,0.04462
1,20,8,0.00225
1,20,16,0.00220
1,20,32,0.00228
1,20,64,0.00231
1,20,128,0.00232
1,25,1,0.05953
1,25,2,0.06058
1,25,4,0.00219
1,25,8,0.00222
1,25,16,0.00200
1,25,32,0.00213
1,25,64,0.00220
1,25,128,0.00235
1,50,1,0.12154
1,50,2,0.00162
1,50,4,0.00165
1,50,8,0.00163
1,50,16,0.00164
1,50,32,0.00164
1,50,64,0.00164
1,50,128,0.00165
2,1,1,0.00924
2,1,2,0.00877
2,1,4,0.00890
2,1,8,0.00896
2,1,16,0.00890
2,1,32,0.00919
2,1,64,0.00915
2,1,128,0.00529
2,5,1,0.02448
2,5,2,0.02507
2,5,4,0.02526
2,5,8,0.02592
2,5,16,0.02569
2,5,32,0.00548
2,5,64,0.00519
2,5,128,0.00530
2,10,1,0.04861
2,10,2,0.04930
2,10,4,0.04970
2,10,8,0.04991
2,10,16,0.00504
2,10,32,0.00505
2,10,64,0.00510
2,10,128,0.00511
2,20,1,0.10138
2,20,2,0.10320
2,20,4,0.10196
2,20,8,0.00460
2,20,16,0.00453
2,20,32,0.00431
2,20,64,0.00439
2,20,128,0.00444
2,25,1,0.15697
2,25,2,0.14569
2,25,4,0.00444
2,25,8,0.00418
2,25,16,0.00441
2,25,32,0.00440
2,25,64,0.00436
2,25,128,0.00421
2,50,1,0.25160
2,50,2,0.00328
2,50,4,0.00317
2,50,8,0.00319
2,50,16,0.00329
2,50,32,0.00302
2,50,64,0.00313
2,50,128,0.00325
4,1,1,0.01822
4,1,2,0.01874
4,1,4,0.01793
4,1,8,0.01856
4,1,16,0.01881
4,1,32,0.01859
4,1,64,0.01928
4,1,128,0.01076
4,5,1,0.05577
4,5,2,0.05773
4,5,4,0.05574
4,5,8,0.05782
4,5,16,0.06112
4,5,32,0.01066
4,5,64,0.01061
4,5,128,0.01062
4,10,1,0.10574
4,10,2,0.10552
4,10,4,0.11567
4,10,8,0.10841
4,10,16,0.01023
4,10,32,0.00997
4,10,64,0.01009
4,10,128,0.01013
4,20,1,0.21952
4,20,2,0.21510
4,20,4,0.20858
4,20,8,0.00905
4,20,16,0.00895
4,20,32,0.00902
4,20,64,0.00894
4,20,128,0.00893
4,25,1,0.25590
4,25,2,0.26490
4,25,4,0.00868
4,25,8,0.00843
4,25,16,0.00882
4,25,32,0.00867
4,25,64,0.00865
4,25,128,0.00877
4,50,1,0.49534
4,50,2,0.00632
4,50,4,0.00636
4,50,8,0.00648
4,50,16,0.00585
4,50,32,0.00629
4,50,64,0.00657
4,50,128,0.00625
8,1,1,0.03829
8,1,2,0.04006
8,1,4,0.04081
8,1,8,0.04003
8,1,16,0.03915
8,1,32,0.03965
8,1,64,0.04043
8,1,128,0.02155
8,5,1,0.11976
8,5,2,0.11962
8,5,4,0.12094
8,5,8,0.11799
8,5,16,0.13634
8,5,32,0.02115
8,5,64,0.02118
8,5,128,0.02157
8,10,1,0.22016
8,10,2,0.21934
8,10,4,0.22872
8,10,8,0.22693
8,10,16,0.02063
8,10,32,0.01968
8,10,64,0.02041
8,10,128,0.02031
8,20,1,0.41674
8,20,2,0.41280
8,20,4,0.41730
8,20,8,0.01775
8,20,16,0.01871
8,20,32,0.01853
8,20,64,0.01809
8,20,128,0.01847
8,25,1,0.50738
8,25,2,0.50877
8,25,4,0.01766
8,25,8,0.01760
8,25,16,0.01758
8,25,32,0.01694
8,25,64,0.01766
8,25,128,0.01774
8,50,1,0.99851
8,50,2,0.01338
8,50,4,0.01322
8,50,8,0.01268
8,50,16,0.01331
8,50,32,0.01334
8,50,64,0.01305
8,50,128,0.01332
10,1,1,0.04988
10,1,2,0.05113
10,1,4,0.05037
10,1,8,0.05057
10,1,16,0.05089
10,1,32,0.05138
10,1,64,0.04964
10,1,128,0.02696
10,5,1,0.15027
10,5,2,0.14877
10,5,4,0.15170
10,5,8,0.15674
10,5,16,0.15537
10,5,32,0.02625
10,5,64,0.02672
10,5,128,0.02736
10,10,1,0.27332
10,10,2,0.27401
10,10,4,0.27849
10,10,8,0.28005
10,10,16,0.02571
10,10,32,0.02475
10,10,64,0.02512
10,10,128,0.02506
10,20,1,0.51458
10,20,2,0.52265
10,20,4,0.52257
10,20,8,0.02263
10,20,16,0.02281
10,20,32,0.02374
10,20,64,0.02360
10,20,128,0.02280
10,25,1,0.63837
10,25,2,0.64040
10,25,4,0.02147
10,25,8,0.02110
10,25,16,0.02206
10,25,32,0.02244
10,25,64,0.02128
10,25,128,0.02132
10,50,1,1.22946
10,50,2,0.01668
10,50,4,0.01623
10,50,8,0.01766
10,50,16,0.01703
10,50,32,0.01629
10,50,64,0.01701
10,50,128,0.01699
12,1,1,0.06012
12,1,2,0.05951
12,1,4,0.06241
12,1,8,0.06098
12,1,16,0.06024
12,1,32,0.06146
12,1,64,0.06078
12,1,128,0.03269
12,5,1,0.17819
12,5,2,0.18500
12,5,4,0.18293
12,5,8,0.18235
12,5,16,0.18091
12,5,32,0.03255
12,5,64,0.03333
12,5,128,0.03232
12,10,1,0.32560
12,10,2,0.33514
12,10,4,0.33356
12,10,8,0.33099
12,10,16,0.03104
12,10,32,0.03106
12,10,64,0.03073
12,10,128,0.03132
12,20,1,0.62097
12,20,2,0.63313
12,20,4,0.63632
12,20,8,0.02868
12,20,16,0.02934
12,20,32,0.02908
12,20,64,0.02877
12,20,128,0.02776
12,25,1,0.77515
12,25,2,0.76707
12,25,4,0.02810
12,25,8,0.02672
12,25,16,0.02693
12,25,32,0.02724
12,25,64,0.02765
12,25,128,0.02689
12,50,1,1.49906
12,50,2,0.01985
12,50,4,0.02074
12,50,8,0.02036
12,50,16,0.02044
12,50,32,0.02025
12,50,64,0.01974
12,50,128,0.02058
16,1,1,0.08201
16,1,2,0.08335
16,1,4,0.08367
16,1,8,0.08592
16,1,16,0.08303
16,1,32,0.08382
16,1,64,0.08491
16,1,128,0.04525
16,5,1,0.24849
16,5,2,0.24325
16,5,4,0.24619
16,5,8,0.25004
16,5,16,0.24512
16,5,32,0.04300
16,5,64,0.04404
16,5,128,0.04411
16,10,1,0.44065
16,10,2,0.44046
16,10,4,0.44099
16,10,8,0.43877
16,10,16,0.04096
16,10,32,0.04121
16,10,64,0.04135
16,10,128,0.04174
16,20,1,0.82988
16,20,2,0.83549
16,20,4,0.83444
16,20,8,0.03818
16,20,16,0.03762
16,20,32,0.03738
16,20,64,0.03614
16,20,128,0.03746
16,25,1,1.01928
16,25,2,1.01640
